AWS,Row Position,Column Position,name,DEM,Imerg,R500,SLHF,TCLW,TCWV
0.20000000298023224,29,114,20190401030000,9,0.0,27.862291,-502480.0,0.70184326,47.500595
13.600000381469727,35,113,20190401030000,94,0.0,35.088852,-471632.0,0.7540283,47.389267
3.200000047683716,9,109,20190401030000,372,0.0,10.612291,-422032.0,0.5897827,43.39708
15.600000381469727,67,121,20190401030000,258,0.0,15.491198,-735952.0,0.2878418,44.981064
0.4000000059604645,60,107,20190401030000,69,0.0,10.729479,-714000.0,0.328125,40.93419
17.799999237060547,6,118,20190401030000,10,2.49471,16.006823,-573712.0,0.82092285,46.117783
30.399999618530273,6,116,20190401030000,10,2.4566653,16.006823,-573712.0,0.82092285,46.117783
12.600000381469727,6,124,20190401030000,9,0.20418425,22.694323,-532496.0,0.7033081,46.268173
20.399999618530273,5,121,20190401030000,9,0.21775705,12.362291,-499792.0,0.7581787,45.594345
9.399999618530273,0,118,20190401030000,12,2.4502108,12.362291,-499792.0,0.7581787,45.594345
0.8999999761581421,0,119,20190401030000,14,2.4502108,12.362291,-499792.0,0.7581787,45.594345
1.2999999523162842,0,122,20190401030000,15,8.612863,19.901354,-460880.0,0.67089844,44.79747
5.400000095367432,19,108,20190401030000,81,0.0,14.760729,-414416.0,0.56152344,41.41075
0.20000000298023224,17,118,20190401030000,39,0.0,19.584948,-570192.0,0.821228,46.332626
5.800000190734863,16,109,20190401030000,350,0.0,10.706041,-469776.0,0.6015625,44.108017
0.4000000059604645,15,115,20190401030000,138,0.0,10.706041,-469776.0,0.6015625,44.108017
0.20000000298023224,37,113,20190401030000,56,0.0,29.698229,-465936.0,0.7322998,46.525986
0.20000000298023224,36,115,20190401030000,13,0.0,35.088852,-471632.0,0.7540283,47.389267
7.400000095367432,0,114,20190401030000,14,0.018562205,8.983385,-368528.0,0.5839844,44.28575
3.0,7,108,20190401030000,69,0.0,10.202135,-330896.0,0.58618164,39.0963
0.6000000238418579,7,109,20190401030000,231,0.0,10.612291,-422032.0,0.5897827,43.39708
26.399999618530273,7,115,20190401030000,104,1.910057,10.612291,-422032.0,0.5897827,43.39708
0.4000000059604645,8,96,20190401030000,1285,0.0,3.7255726,-323408.0,0.46569824,31.045517
29.799999237060547,0,128,20190401030000,11,3.45257,29.014635,-535696.0,0.46411133,45.60997
2.200000047683716,8,122,20190401030000,10,0.18562204,22.694323,-532496.0,0.7033081,46.268173
3.200000047683716,9,119,20190401030000,8,3.0375922,16.006823,-573712.0,0.82092285,46.117783
23.600000381469727,10,113,20190401030000,125,1.1869307,10.612291,-422032.0,0.5897827,43.39708
5.199999809265137,10,117,20190401030000,11,1.6916271,16.006823,-573712.0,0.82092285,46.117783
0.20000000298023224,12,119,20190401030000,20,0.053601008,19.584948,-570192.0,0.821228,46.332626
0.4000000059604645,13,111,20190401030000,203,0.0,10.706041,-469776.0,0.6015625,44.108017
0.6000000238418579,13,115,20190401030000,116,0.047619782,10.706041,-469776.0,0.6015625,44.108017
0.5,14,114,20190401030000,223,0.0062112752,10.706041,-469776.0,0.6015625,44.108017
0.6000000238418579,9,108,20190401030000,226,0.0,10.202135,-330896.0,0.58618164,39.0963
0.20000000298023224,4,111,20190401030000,230,0.018562205,8.983385,-368528.0,0.5839844,44.28575
13.199999809265137,1,117,20190401030000,12,2.4502108,12.362291,-499792.0,0.7581787,45.594345
0.8500000238418579,1,120,20190401030000,21,8.464365,12.362291,-499792.0,0.7581787,45.594345
3.799999952316284,4,121,20190401030000,10,2.097529,12.362291,-499792.0,0.7581787,45.594345
27.399999618530273,4,117,20190401030000,12,2.4316487,12.362291,-499792.0,0.7581787,45.594345
29.799999237060547,2,123,20190401030000,12,2.1160913,19.901354,-460880.0,0.67089844,44.79747
18.200000762939453,4,125,20190401030000,12,2.1346536,19.901354,-460880.0,0.67089844,44.79747
10.399999618530273,4,130,20190401030000,10,0.0,29.014635,-535696.0,0.46411133,45.60997
1.0,5,106,20190401030000,321,0.0,9.959948,-276176.0,0.64349365,40.82872
0.6000000238418579,1,119,20190401030000,16,2.4502108,12.362291,-499792.0,0.7581787,45.594345
30.0,5,114,20190401030000,17,2.3709726,8.983385,-368528.0,0.5839844,44.28575
7.599999904632568,0,116,20190401030000,14,2.4316487,12.362291,-499792.0,0.7581787,45.594345
1.2000000476837158,2,122,20190401030000,12,2.1160913,19.901354,-460880.0,0.67089844,44.79747
0.6000000238418579,1,121,20190401030000,17,8.464365,12.362291,-499792.0,0.7581787,45.594345
26.600000381469727,1,132,20190401030000,10,0.0,29.014635,-535696.0,0.46411133,45.60997
26.600000381469727,2,117,20190401030000,12,2.4316487,12.362291,-499792.0,0.7581787,45.594345
1.5,2,118,20190401030000,12,2.4316487,12.362291,-499792.0,0.7581787,45.594345
